url,status,error,ms,html_kb,lang,title,title_len,meta_description,desc_len,robots,canonical,h1,h1_count,h2_count,word_count,img_count,img_missing_alt,img_missing_dims,internal_links,external_links,scripts,css,schema_types,in_sitemap
#,0,unknown url type: '',,,,,,,,,,,,,,,,,,,,,,True
https://flavory.wine,200,,5619,478,nl-NL,Home - Flavory,14,"Een wijn box die smaakt naar meer. Ontdek verrassende wijnen, blind geproefd en stijlvol verpakt. Perfect om zelf te genieten of te delen.",138,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://flavory.wine/,Speel het wijnspel met vrienden | Wat is Flavory?,2,5,1563,36,9,0,100,15,60,31,WebPage;ImageObject;BreadcrumbList;WebSite;Organization,False
https://flavory.wine/,200,,6372,478,nl-NL,Home - Flavory,14,"Een wijn box die smaakt naar meer. Ontdek verrassende wijnen, blind geproefd en stijlvol verpakt. Perfect om zelf te genieten of te delen.",138,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://flavory.wine/,Speel het wijnspel met vrienden | Wat is Flavory?,2,5,1563,36,9,0,100,15,60,31,WebPage;ImageObject;BreadcrumbList;WebSite;Organization,True
https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2024-is-2-2/,200,,4396,164,nl-NL,5 Redenen Waarom Flavory's Wine Tasting Het Leukste Kerstcadeau Van 2024 Is​ 2 - Flavory,88,"Je kan nu iets bijleren over wijn zonder een cursus te volgen of een boek te moeten lezen. Flavory’s blinde wijnproeverij in de vorm van een spel is zonder twijfel de leukste manier om de wijnwereld te ontdekken. Twee beroemde wijnlanden of druiven worden anoniem tegenover elkaar geplaatst, aan jou en je medespelers om ze te herkennen!",337,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2024-is-2-2/,5 Redenen Waarom Flavory's Wine Tasting Het Leukste Kerstcadeau Van 2024 Is,1,6,476,24,20,0,13,0,65,23,WebPage;ImageObject;BreadcrumbList;WebSite;Organization,True
https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2024-is-2/,200,,4263,138,nl-NL,5 Redenen Waarom Flavory's Wine Tasting Het Leukste Kerstcadeau Van 2024 Is​ 2 - Flavory,88,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2024-is-2/,,0,1,60,19,15,0,13,0,65,22,WebPage;ImageObject;BreadcrumbList;WebSite;Organization,True
https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2024-is/,200,,4255,102,nl-NL,5 Redenen Waarom Flavory's Wine Tasting Het Leukste Kerstcadeau Van 2024 Is​ - Flavory,86,"Je kan nu iets bijleren over wijn zonder een cursus te volgen of een boek te moeten lezen. Flavory’s blinde wijnproeverij in de vorm van een spel is zonder twijfel de leukste manier om de wijnwereld te ontdekken. Twee beroemde wijnlanden of druiven worden anoniem tegenover elkaar geplaatst, aan jou en je medespelers om ze te herkennen!",337,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2024-is/,5 Redenen Waarom Flavory's Wine Tasting Het Leukste Kerstcadeau Van 2024 Is,1,6,446,8,8,0,3,0,54,17,WebPage;ImageObject;BreadcrumbList;WebSite;Organization,True
https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2025-is-2/,200,,3205,89,nl-NL,5 Redenen Waarom Flavory's Wine Tasting Het Leukste Kerstcadeau Van 2025 Is - Flavory,85,"Je kan nu iets bijleren over wijn zonder een cursus te volgen of een boek te moeten lezen. Flavory’s blinde wijnproeverij in de vorm van een spel is zonder twijfel de leukste manier om de wijnwereld te ontdekken. Twee beroemde wijnlanden of druiven worden anoniem tegenover elkaar geplaatst, aan jou en je medespelers om ze te herkennen!",337,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2025-is-2/,5 Redenen Waarom Flavory's Wine Tasting Het Leukste Kerstcadeau Van 2025 Is,1,5,416,5,5,0,0,0,54,17,WebPage;ImageObject;BreadcrumbList;WebSite;Organization,True
https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2025-is-3/,200,,3911,69,nl-NL,5 redenen waarom Flavory het leukste kerstcadeau van 2025 is,60,"Op zoek naar het leukste kerstcadeau van 2025? Ontdek waarom de Flavory wijnproeverij het perfecte geschenk is. Gezellig, leerzaam en uniek.",140,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2025-is-3/,5 redenen waarom een wijnspel het leukste kerstcadeau is,1,5,471,5,4,0,2,2,42,17,WebPage;ImageObject;BreadcrumbList;WebSite;Organization,True
https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2025-is-w2/,200,,4284,136,nl-NL,5 Redenen Waarom Flavory's Wine Tasting Het Leukste Kerstcadeau Van 2025 Is W2 - Flavory,88,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2025-is-w2/,,0,1,60,17,13,0,12,0,65,22,WebPage;ImageObject;BreadcrumbList;WebSite;Organization,True
https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2025-is/,200,,4340,161,nl-NL,5 Redenen Waarom Flavory's Wine Tasting Het Leukste Kerstcadeau Van 2025 Is - Flavory,85,"Je kan nu iets bijleren over wijn zonder een cursus te volgen of een boek te moeten lezen. Flavory’s blinde wijnproeverij in de vorm van een spel is zonder twijfel de leukste manier om de wijnwereld te ontdekken. Twee beroemde wijnlanden of druiven worden anoniem tegenover elkaar geplaatst, aan jou en je medespelers om ze te herkennen!",337,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://flavory.wine/5-redenen-waarom-flavorys-wine-tasting-het-leukste-kerstcadeau-van-2025-is/,5 Redenen Waarom Flavory's Wine Tasting Het Leukste Kerstcadeau Van 2024 Is,1,6,476,22,18,0,12,0,65,23,WebPage;ImageObject;BreadcrumbList;WebSite;Organization,True
https://flavory.wine/?post_type=product&p=7319&preview=true,200,,5998,478,nl-NL,Home - Flavory,14,"Een wijn box die smaakt naar meer. Ontdek verrassende wijnen, blind geproefd en stijlvol verpakt. Perfect om zelf te genieten of te delen.",138,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://flavory.wine/,Speel het wijnspel met vrienden | Wat is Flavory?,2,5,1563,36,9,0,100,15,60,31,WebPage;ImageObject;BreadcrumbList;WebSite;Organization,False
https://flavory.wine/?post_type=product&p=7361,200,,5081,478,nl-NL,Home - Flavory,14,"Een wijn box die smaakt naar meer. Ontdek verrassende wijnen, blind geproefd en stijlvol verpakt. Perfect om zelf te genieten of te delen.",138,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://flavory.wine/,Speel het wijnspel met vrienden | Wat is Flavory?,2,5,1563,36,9,0,100,15,60,31,WebPage;ImageObject;BreadcrumbList;WebSite;Organization,False
https://flavory.wine/?reviews=11168,200,,4381,201,nl-NL,Charlotte - Flavory,19,,0,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://flavory.wine/?reviews=11168,,0,0,117,10,1,0,36,14,54,22,WebPage;BreadcrumbList;WebSite;Organization,True
